Instance Type,Market,vCPU,RAM (GiB),Storage,Price ($/h),Price ($/m),Price ($/y),Unit,Terms
c7g.12xlarge,ondemand,48,96.0,EBS only,1.7342,1248.624,14983.488000000001,hrs,"OnDemand, Reserved"
r5ad.xlarge,ondemand,4,32.0,1 x 150 NVMe SSD,1.762,1268.64,15223.68,hrs,"OnDemand, Reserved"
r4.xlarge,ondemand,4,30.5,EBS only,1.766,1271.52,15258.24,hrs,"OnDemand, Reserved"
r5b.xlarge,ondemand,4,32.0,EBS only,1.798,1294.56,15534.72,hrs,"OnDemand, Reserved"
c6in.8xlarge,ondemand,32,64.0,EBS only,1.8144,1306.368,15676.416,hrs,"OnDemand, Reserved"
m6idn.xlarge,ondemand,4,16.0,1 x 237 SSD,1.81824,1309.1328,15709.5936,hrs,"OnDemand, Reserved"
r6idn.4xlarge,ondemand,16,128.0,1 x 950 SSD,1.83352,1320.1344,15841.612799999999,hrs,"OnDemand, Reserved"
c6a.12xlarge,ondemand,48,96.0,EBS only,1.836,1321.92,15863.04,hrs,"OnDemand, Reserved"
i4i.xlarge,ondemand,4,32.0,1 x 937 NVMe SSD,1.843,1326.96,15923.52,hrs,"OnDemand, Reserved"
r6gd.8xlarge,ondemand,32,256.0,1 x 1900 NVMe SSD,1.8432,1327.104,15925.248,hrs,"OnDemand, Reserved"
c6gd.12xlarge,ondemand,48,96.0,2 x 1425 NVMe SSD,1.8432,1327.104,15925.248,hrs,"OnDemand, Reserved"
m6g.12xlarge,ondemand,48,192.0,EBS only,1.848,1330.5600000000002,15966.720000000001,hrs,"OnDemand, Reserved"
z1d.xlarge,ondemand,4,32.0,1 x 150 NVMe SSD,1.872,1347.8400000000001,16174.080000000002,hrs,"OnDemand, Reserved"
c6i.8xlarge,ondemand,32,64.0,EBS only,1.9008,1368.576,16422.912,hrs,"OnDemand, Reserved"
m5a.8xlarge,ondemand,32,128.0,EBS only,1.917,1380.24,16562.88,hrs,"OnDemand, Reserved"
m6a.8xlarge,ondemand,32,128.0,EBS only,1.9232,1384.704,16616.448,hrs,"OnDemand, Reserved"
m7g.12xlarge,ondemand,48,192.0,EBS only,1.9584,1410.048,16920.576,hrs,"OnDemand, Reserved"
inf2.8xlarge,ondemand,32,128.0,EBS only,1.96786,1416.8591999999999,17002.3104,hrs,"OnDemand, Reserved"
c7i.8xlarge,ondemand,32,64.0,EBS only,1.9688,1417.536,17010.432,hrs,"OnDemand, Reserved"
c7gn.8xlarge,ondemand,32,64.0,EBS only,1.9968,1437.696,17252.352,hrs,"OnDemand, Reserved"
